x,v_velocity
0.0,0.19326274
0.005025125628140704,0.19326575
0.010050251256281407,0.19326645
0.01507537688442211,0.19326447
0.020100502512562814,0.19326034
0.02512562814070352,0.19325386
0.03015075376884422,0.19324559
0.035175879396984924,0.19323589
0.04020100502512563,0.19322443
0.04522613065326633,0.19321182
0.05025125628140704,0.19319819
0.05527638190954774,0.19318363
0.06030150753768844,0.19316871
0.06532663316582915,0.19315311
0.07035175879396985,0.19313751
0.07537688442211056,0.19312191
0.08040201005025126,0.19310628
0.08542713567839195,0.19309132
0.09045226130653267,0.19307649
0.09547738693467336,0.1930622
0.10050251256281408,0.19304837
0.10552763819095477,0.19303492
0.11055276381909548,0.19302183
0.11557788944723618,0.19300896
0.12060301507537688,0.19299608
0.12562814070351758,0.1929825
0.1306532663316583,0.19296826
0.135678391959799,0.19295236
0.1407035175879397,0.19293463
0.1457286432160804,0.19291422
0.15075376884422112,0.19288984
0.15577889447236182,0.19286112
0.16080402010050251,0.19282655
0.1658291457286432,0.19278504
0.1708542713567839,0.19273576
0.17587939698492464,0.19267699
0.18090452261306533,0.19260731
0.18592964824120603,0.19252525
0.19095477386934673,0.1924292
0.19597989949748745,0.19231786
0.20100502512562815,0.19218947
0.20603015075376885,0.19204254
0.21105527638190955,0.19187528
0.21608040201005024,0.19168644
0.22110552763819097,0.19147442
0.22613065326633167,0.19123796
0.23115577889447236,0.19097556
0.23618090452261306,0.19068608
0.24120603015075376,0.19036813
0.24623115577889448,0.19002065
0.25125628140703515,0.18964283
0.2562814070351759,0.18923362
0.2613065326633166,0.18879233
0.2663316582914573,0.18831818
0.271356783919598,0.18781051
0.2763819095477387,0.18726826
0.2814070351758794,0.18669167
0.2864321608040201,0.18608001
0.2914572864321608,0.18543278
0.2964824120603015,0.18474948
0.30150753768844224,0.18403037
0.3065326633165829,0.18327469
0.31155778894472363,0.18248236
0.3165829145728643,0.18165308
0.32160804020100503,0.18078679
0.32663316582914576,0.1798833
0.3316582914572864,0.17894244
0.33668341708542715,0.17796366
0.3417085427135678,0.17694737
0.34673366834170855,0.17589316
0.35175879396984927,0.17480074
0.35678391959798994,0.17366982
0.36180904522613067,0.17250028
0.36683417085427134,0.17129187
0.37185929648241206,0.1700443
0.3768844221105528,0.16875704
0.38190954773869346,0.16743016
0.3869346733668342,0.16606279
0.3919597989949749,0.16465479
0.3969849246231156,0.16320544
0.4020100502512563,0.16171438
0.40703517587939697,0.16018139
0.4120603015075377,0.15860528
0.4170854271356784,0.15698542
0.4221105527638191,0.15532143
0.4271356783919598,0.1536125
0.4321608040201005,0.1518578
0.4371859296482412,0.1500562
0.44221105527638194,0.14820705
0.4472361809045226,0.14630969
0.45226130653266333,0.14436227
0.457286432160804,0.14236458
0.4623115577889447,0.14031455
0.46733668341708545,0.1382121
0.4723618090452261,0.13605498
0.47738693467336685,0.13384232
0.4824120603015075,0.1315724
0.48743718592964824,0.1292444
0.49246231155778897,0.126856
0.49748743718592964,0.124406256
0.5025125628140703,0.121893294
0.507537688442211,0.11931549
0.5125628140703518,0.11667072
0.5175879396984925,0.113957435
0.5226130653266332,0.111174084
0.5276381909547738,0.10831819
0.5326633165829145,0.10538786
0.5376884422110553,0.102381386
0.542713567839196,0.099296324
0.5477386934673367,0.096130595
0.5527638190954774,0.09288183
0.5577889447236181,0.08954832
0.5628140703517588,0.08612768
0.5678391959798995,0.08261709
0.5728643216080402,0.07901453
0.577889447236181,0.07531805
0.5829145728643216,0.0715249
0.5879396984924623,0.067632936
0.592964824120603,0.06363964
0.5979899497487438,0.059542947
0.6030150753768845,0.055340543
0.6080402010050251,0.051030125
0.6130653266331658,0.046609364
0.6180904522613065,0.042076387
0.6231155778894473,0.037428897
0.628140703517588,0.032665055
0.6331658291457286,0.02778297
0.6381909547738693,0.022780789
0.6432160804020101,0.017656812
0.6482412060301508,0.01240936
0.6532663316582915,0.0070372648
0.6582914572864321,0.0015390968
0.6633165829145728,-0.0040863957
0.6683417085427136,-0.009839792
0.6733668341708543,-0.015722249
0.678391959798995,-0.021734234
0.6834170854271356,-0.027875967
0.6884422110552764,-0.034148082
0.6934673366834171,-0.040550116
0.6984924623115578,-0.047081884
0.7035175879396985,-0.053743083
0.7085427135678392,-0.060532816
0.7135678391959799,-0.06745029
0.7185929648241206,-0.074494086
0.7236180904522613,-0.08166304
0.7286432160804021,-0.0889551
0.7336683417085427,-0.09636834
0.7386934673366834,-0.10390043
0.7437185929648241,-0.11154866
0.7487437185929648,-0.119310334
0.7537688442211056,-0.12718202
0.7587939698492463,-0.13516033
0.7638190954773869,-0.14324078
0.7688442211055276,-0.15141994
0.7738693467336684,-0.15969223
0.7788944723618091,-0.16805318
0.7839195979899498,-0.1764969
0.7889447236180904,-0.1850176
0.7939698492462312,-0.19360918
0.7989949748743719,-0.20226394
0.8040201005025126,-0.2109753
0.8090452261306533,-0.21973497
0.8140703517587939,-0.22853465
0.8190954773869347,-0.23736538
0.8241206030150754,-0.2462178
0.8291457286432161,-0.2550817
0.8341708542713568,-0.26394638
0.8391959798994975,-0.27280015
0.8442211055276382,-0.2816317
0.8492462311557789,-0.29042786
0.8542713567839196,-0.29917553
0.8592964824120604,-0.3078611
0.864321608040201,-0.3164689
0.8693467336683417,-0.32498392
0.8743718592964824,-0.33339
0.8793969849246231,-0.3416695
0.8844221105527639,-0.3498049
0.8894472361809045,-0.357777
0.8944723618090452,-0.36556658
0.8994974874371859,-0.37315276
0.9045226130653267,-0.38051423
0.9095477386934674,-0.3876292
0.914572864321608,-0.39447483
